Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
845,Milford To Takapuna Via North Shore Hospital,Local,07 - 17,06 - 15,North,16.8,19.0,17.8,18.1,18.3,15.8,13.8,20.7,22.8
856,Albany Station To Takapuna Via Beach Rd And Milford,Connector,17 - 27,15 - 24,North,19.4,22.6,20.5,21.8,22.9,18.0,17.2,25.2,25.9
861,Long Bay To Constellation Station Via Bush Rd,Connector,17 - 27,15 - 24,North,22.7,24.7,23.7,24.0,24.5,19.9,18.6,27.2,31.0
865,Browns Bay To Albany Station Via Oaktree Ave,Connector,17 - 27,15 - 24,North,18.2,19.7,19.8,20.4,22.0,19.4,18.2,21.8,25.0
866,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,33.3,36.3,32.8,34.2,34.0,28.4,30.4,37.0,41.1
871,Constellation Station To Takapuna Via Forrest Hill Rd,Connector,17 - 27,15 - 24,North,30.3,36.4,30.9,33.6,34.0,20.6,22.5,37.9,40.5
878,Browns Bay To Constellation Station Via and East Coast Rd,Connector,17 - 27,15 - 24,North,23.1,28.6,24.6,26.3,27.2,18.2,16.5,29.6,31.4
883,Schnapper Rock To Constellation Station,Connector,07 - 17,06 - 15,North,20.5,25.2,21.3,23.0,21.2,14.6,13.5,21.7,25.7
884,Constellation Station To NHIE Loop Anticlockwise,Weekday Connector,07 - 17,06 - 15,North,19.2,22.9,20.1,21.6,20.2,15.4,15.1,25.2,27.2
885,Constellation Station To NHIE Loop Clockwise,Weekday Connector,07 - 17,06 - 15,North,16.5,19.7,18.3,19.3,19.1,14.3,13.3,23.0,24.3
888,Albany Heights Loop,Connector,07 - 17,06 - 15,North,18.4,22.4,21.4,21.6,22.4,17.6,16.7,25.1,32.1
889,Albany Station To Constellation Station Via Hugh Green Dr,Connector,07 - 17,06 - 15,North,21.6,23.1,22.2,22.4,22.9,19.3,19.2,24.3,25.3
901,Smales Farm To Constellation Station Via Wairau Rd,Connector,07 - 17,06 - 15,North,25.3,28.8,24.8,27.3,26.4,20.8,20.4,30.2,33.1
902,Kyle Road To Constellation Station,Connector,07 - 17,06 - 15,North,13.6,16.0,13.6,14.9,15.0,10.5,9.8,16.0,17.3
906,Constellation To Smales Farm Via Windy Ridge And Archers Rd,Local,07 - 17,06 - 15,North,20.2,24.0,20.6,22.0,22.0,18.3,17.3,24.1,25.2
907,Campbells Bay To Constellation Station Via Sunnynook Station,Local,07 - 17,06 - 15,North,13.9,16.2,14.0,14.8,14.8,12.4,11.6,16.2,17.9
917,Birkenhead Wharf To Albany Station Via Glenfield Rd,Connector,17 - 27,15 - 24,North,21.1,24.1,22.4,22.5,22.6,18.7,17.0,24.6,26.6
923,Akoranga Station To City (Mayoral Dr) Via Hillcrest,Connector,17 - 27,15 - 24,North,17.5,19.8,17.3,17.7,16.9,13.1,13.6,18.5,21.9
924,Hillcrest To City (Mayoral Dr),Peak,17 - 27,15 - 24,North,26.9,30.5,26.5,28.1,27.4,21.2,21.0,29.4,33.8
926,Glenfield To Akoranga Station Via Hillcrest West,Connector,07 - 17,06 - 15,North,23.2,26.7,24.4,25.2,24.5,21.9,19.8,26.9,26.7
928,Northcote Point To Smales Farm Stn Via North Shore Hospital,Local,07 - 17,06 - 15,North,10.6,12.3,10.7,12.0,11.8,8.7,8.2,14.2,14.1
931,Chatswood To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,20.9,25.6,22.3,23.8,22.3,17.6,16.6,24.2,31.4
933,Beach Haven Wharf To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,21.4,26.5,23.2,25.3,23.3,19.4,18.0,25.6,34.1
939,Windy Ridge To University of Auckland Via Customs St,Peak,27 - 37,24 - 33,North,31.0,36.5,33.4,35.5,31.5,24.4,23.0,34.3,44.0
94,Beach Haven To Takapuna via Highbury And Northcote Shops,Frequent,17 - 27,15 - 24,North,25.8,29.8,27.9,29.0,30.7,24.0,21.5,33.0,33.5
941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,17 - 27,15 - 24,North,27.1,30.4,27.6,29.2,30.3,24.6,24.7,32.2,32.7
95B,Bayview To Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,31.8,35.3,32.9,34.2,33.9,27.9,27.1,35.6,39.0
95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,27 - 37,24 - 33,North,33.0,34.7,30.3,32.2,32.2,27.4,25.9,34.8,37.4
